Love The Way You Lie,Eminem,detroit hip hop
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop
Tee Shirt - Soundtrack Version,Birdy,neo mellow
Words as Weapons,Birdy,neo mellow
You're Mine (Eternal),Mariah Carey,dance pop
Sheezus,Lily Allen,dance pop
Cannonball,Lea Michele,hollywood
It's On Again - Main Soundtrack,Alicia Keys,hip pop
I Luh Ya Papi,Jennifer Lopez,dance pop
Not a Bad Thing,Justin Timberlake,dance pop
Thinking out Loud,Ed Sheeran,pop
I'm Not The Only One,Sam Smith,pop
The Hills,The Weeknd,canadian contemporary r&b
Love Yourself,Justin Bieber,canadian pop
Uptown Funk,Mark Ronson,dance pop
Take Me To Church,Hozier,irish singer-songwriter
Sugar,Maroon 5,pop
Sorry,Justin Bieber,canadian pop
FourFiveSeconds,Rihanna,barbadian pop
What Do You Mean?,Justin Bieber,canadian pop
Stitches,Shawn Mendes,canadian pop
Want to Want Me,Jason Derulo,dance pop
My House,Flo Rida,dance pop
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house
Night Changes,One Direction,boy band
How Deep Is Your Love,Calvin Harris,dance pop
Never Forget You,Zara Larsson,dance pop
Love Me Harder,Ariana Grande,dance pop
Animals,Maroon 5,pop
Blame,Calvin Harris,dance pop
Worth It,Fifth Harmony,dance pop
Break Free,Ariana Grande,dance pop
Don't,Ed Sheeran,pop
Elastic Heart,Sia,australian dance
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop
Hello,Adele,british soul
Dear Future Husband,Meghan Trainor,dance pop
43776,Beyonce,dance pop
The Heart Wants What It Wants,Selena Gomez,dance pop
Genie In a Bottle,Christina Aguilera,dance pop
Company,Justin Bieber,canadian pop
Sing,Ed Sheeran,pop
Jealous - Remix,Nick Jonas,dance pop
Really Don't Care,Demi Lovato,dance pop
Only Love Can Hurt Like This,Paloma Faith,british soul
Heartbeat Song,Kelly Clarkson,dance pop
Up,Olly Murs,dance pop
Trumpets,Jason Derulo,dance pop
Runnin' (Lose It All),Naughty Boy,tropical house
Same Old Love,Selena Gomez,dance pop
I Want You To Know,Zedd,complextro
Lips Are Movin,Meghan Trainor,dance pop
I'll Show You,Justin Bieber,canadian pop
Here,Alessia Cara,canadian contemporary r&b
I Lived,OneRepublic,dance pop
Fireball (feat. John Ryan),Pitbull,dance pop
Easy Love,Sigala,dance pop
The Feeling,Justin Bieber,canadian pop
I Really Like You,Carly Rae Jepsen,canadian pop
BO$$,Fifth Harmony,dance pop
Focus,Ariana Grande,dance pop
All About That Bass,Meghan Trainor,dance pop
On My Mind,Ellie Goulding,dance pop
Love Me Like You,Little Mix,dance pop
Broken Arrows,Avicii,big room
Booty,Jennifer Lopez,dance pop
What Do You Mean? - Acoustic,Justin Bieber,canadian pop
Mark My Words,Justin Bieber,canadian pop
Lay It All on Me,Rudimental,dance pop
American Oxygen,Rihanna,barbadian pop
Bang Bang,Jessie J,australian pop
Reality - Radio Edit,Lost Frequencies,belgian edm
Alive,Sia,australian dance
Sugar (feat. Francesco Yates),Robin Schulz,dance pop
Been You,Justin Bieber,canadian pop
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop
Heroes (we could be),Alesso,big room
Perfect,One Direction,boy band
Ghosttown,Madonna,dance pop
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop
Bloodstream,Ed Sheeran,pop
Living For Love,Madonna,dance pop
Baby Don't Lie,Gwen Stefani,dance pop
Don't Be so Hard on Yourself,Jess Glynne,dance pop
Steal My Girl,One Direction,boy band
We Are Here,Alicia Keys,hip pop
St Jude,Florence + The Machine,art pop
Yesterday (feat. Bebe Rexha),David Guetta,dance pop
Time of Our Lives,Pitbull,dance pop
Sparks,Hilary Duff,dance pop
Mr. Put It Down,Ricky Martin,dance pop
Legendary Lovers,Katy Perry,dance pop
Spark The Fire,Gwen Stefani,dance pop
Run Run Run,Kelly Clarkson,dance pop
Let Me Be Your Lover,Enrique Iglesias,dance pop
Dangerous,Jennifer Hudson,dance pop
L.A.LOVE (la la),Fergie,dance pop
Cake By The Ocean,DNCE,dance pop
Don't Let Me Down,The Chainsmokers,electropop
In the Name of Love,Martin Garrix,big room
Into You,Ariana Grande,dance pop
This Is What You Came For,Calvin Harris,dance pop
Million Reasons,Lady Gaga,dance pop
Needed Me,Rihanna,barbadian pop
7 Years,Lukas Graham,danish pop
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop
Work,Rihanna,barbadian pop
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop
Dangerous Woman,Ariana Grande,dance pop
Starving,Hailee Steinfeld,dance pop
Shout Out to My Ex,Little Mix,dance pop
Confident,Demi Lovato,dance pop
Too Good,Drake,canadian hip hop
Roses,The Chainsmokers,electropop
Cold Water,Major Lazer,dance pop
Me Too,Meghan Trainor,dance pop
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop
Ain't Your Mama,Jennifer Lopez,dance pop
Close,Nick Jonas,dance pop
Toothbrush,DNCE,dance pop
All We Know,The Chainsmokers,electropop
Hands To Myself,Selena Gomez,dance pop
All I Ask,Adele,british soul
NO,Meghan Trainor,dance pop
Kill Em With Kindness,Selena Gomez,dance pop
Cool Girl,Tove Lo,dance pop
Perfect Illusion,Lady Gaga,dance pop
PILLOWTALK,ZAYN,dance pop
Out Of The Woods,Taylor Swift,pop
